,Title,Location,City,Company,Salary_Range,Salary_Avg,Summary,BOS,CHI,DC,HOU,NY,SF
486,Director of Data Engineering,"New York, NY",NY,        Weight Watchers International,141k-160k,150.5,Work closely with our data scientists to help build complex algorithms that provide unique insights into our data....,0.0,0.0,0.0,0.0,1.0,0.0
487,Revenue Cycle Optimization Manager,"New York, NY",NY,        Weill Cornell Medical College,141k-160k,150.5,"Some explicit experience with either EMR, PMS, or Data Warehouse Reporting systems. The doctors and scientists of Weill Cornell Medicine—faculty from Weill...",0.0,0.0,0.0,0.0,1.0,0.0
488,Insurance Counsel,"New York, NY",NY,"    Two Sigma Investments, LLC.",141k-160k,150.5,"Data scientists, engineers, and business professionals, TSIQ possesses the. Insurance regulatory and data privacy landscapes alongside its industry....",0.0,0.0,0.0,0.0,1.0,0.0
489,Analytics Strategy & Transformation Manager (Life Sciences),"New York, NY 10011 (Chelsea area)",NY,        Accenture,141k-160k,150.5,"Understanding of analytics roles and responsibilities (e.g., data scientist). Data management skills....",0.0,0.0,0.0,0.0,1.0,0.0
490,Sr. Adserver Engineer,"New York, NY",NY,        PlaceIQ,141k-160k,150.5,"Having already assembled an exceptionally skilled, diverse and passionate team of developers and data scientists, we are looking for world-class engineers that...",0.0,0.0,0.0,0.0,1.0,0.0
491,Java Engineer - Asset Management Firm,"New York, NY 10167 (Midtown area)",NY,    Selby Jennings,141k-160k,150.5,"The Java Platform Engineer will be mandated with designing and building solutions for processing big and unstructured data sets, while working closely with Data...",0.0,0.0,0.0,0.0,1.0,0.0
492,"VP Global Product Marketing, Video","New York, NY",NY,        Xaxis,141k-160k,150.5,"Xaxis combines proprietary technology, unique data assets and exclusive media relationships with the brightest team of audience analysts, data scientists and...",0.0,0.0,0.0,0.0,1.0,0.0
493,Research Scientist - High Frequency Trading,"New York, NY 10167 (Midtown area)",NY,    Selby Jennings,141k-160k,150.5,Senior Research Scientist - High Frequency Trading. An opportunity exists for an exceptional research scientist with a proven track record of cutting edge...,0.0,0.0,0.0,0.0,1.0,0.0
494,Director Business Development and Product Management - Insur...,"Jersey City, NJ",NY,    The James Allen Companies,141k-160k,150.5,"Aptitude for working on a team with highly technical data scientists, predictive modelers, data architects and IT experts....",0.0,0.0,0.0,0.0,1.0,0.0
495,Sr. Data Scientist for Fortune 500 Company,"New York, NY",NY,    Averity,161k-180k,170.5,Are you a Senior Data Scientist looking to make an impact in a Fortune 500 company? This is an opportunity for an experienced Data Scientist to impact a Fortune...,0.0,0.0,0.0,0.0,1.0,0.0
496,Data Scientist,"New York, NY 10010 (Gramercy area)",NY,        Workbridge Associates,161k-180k,170.5,The data scientist will develop algorithms and analytic solutions to prepare for research and development testing....,0.0,0.0,0.0,0.0,1.0,0.0
497,Data Scientist / Quantitative Researcher,"New York, NY",NY,        DRW Trading Group,161k-180k,170.5,"We are looking for a Data Scientist / Quantitative Researcher to join a small, collaborative team of experienced Developers and Data Scientists....",0.0,0.0,0.0,0.0,1.0,0.0
498,Senior Data Scientist,"New York, NY",NY,    Averity,161k-180k,170.5,We are hiring a Senior Data Scientist that will be hand-on developing predictive and prescriptive models for impactful decisions for our company....,0.0,0.0,0.0,0.0,1.0,0.0
499,CIB-Rapid Prototyping Data Scientist – Vice President - New...,"New York, NY",NY,        JPMorgan Chase,161k-180k,170.5,CIB-Rapid Prototyping Data Scientist – Vice President - New York. Professional experience as a data scientist or a related software engineering role....,0.0,0.0,0.0,0.0,1.0,0.0
500,Senior Data Scientist – Strategic Analytics Services,"Jersey City, NJ",NY,    Arch Capital Group Ltd.,161k-180k,170.5,"Mentor, support and develop the growing team of predictive modelers and data scientists. As Senior Data Scientist, you will play a crucial leadership role in...",0.0,0.0,0.0,0.0,1.0,0.0
501,Dev. Engineer/Data Scientist-Global Bank (150k+),"New York, NY 10167 (Midtown area)",NY,    Selby Jennings,161k-180k,170.5,Development Engineer/Data Scientist for Leading Global Investment Bank. They are an elite team that is set out to find a brilliant mind that will act on their...,0.0,0.0,0.0,0.0,1.0,0.0
502,Senior Data Scientist,"New York, NY 10167 (Midtown area)",NY,    Selby Jennings,161k-180k,170.5,Data Scientist | Top Asset Management Firm. Strong understanding of Data Science principles. Comfortable working in several different data sources....,0.0,0.0,0.0,0.0,1.0,0.0
503,Senior Data Scientist - Bio-tech,"New York, NY",NY,    Harnham,161k-180k,170.5,Senior Data Scientist - Bio-tech. Senior Data Scientist | Data Scientist | Bio-tech | Biostatistics | Computer Science | Machine Learning....,0.0,0.0,0.0,0.0,1.0,0.0
504,Quantitative Research Analyst for Multi-Billion Dollar Hedge...,"New York, NY",NY,    Averity,161k-180k,170.5,"Are you Quantitative Research Analyst looking to join a Multi-Billion Dollar Hedge Fund? What is the Job? As a Quantitative Research Analyst, you will work",0.0,0.0,0.0,0.0,1.0,0.0
505,Investment Management Senior Quantitative Analyst,"New York, NY 10032 (Washington Heights area)",NY,        Morgan Stanley,161k-180k,170.5,"Morgan Stanley Investment Management, together with its investment advisory affiliates, has more than 589 investment professionals around the world and $406",0.0,0.0,0.0,0.0,1.0,0.0
506,VP of Engineering - Analytics Engineering,"New York, NY 10011 (Chelsea area)",NY,        Spotify,161k-180k,170.5,"We are made up of research and data scientists, data and machine learning engineers, data visualization designers, front-end and back-end developers, project...",0.0,0.0,0.0,0.0,1.0,0.0
507,"Connect - Vice President, Behavioral Data Group","New York, NY",NY,        Ipsos North America,161k-180k,170.5,"A data scientist expert, experimented in quantitative data analysis and data modeling with a strong background in panels analytics (consumer panel, audience...",0.0,0.0,0.0,0.0,1.0,0.0
508,"VP, Strategic Analytics Services","Jersey City, NJ",NY,    Arch Capital Group Ltd.,161k-180k,170.5,"Under your mentorship and guidance, we will develop a best-in-class team of predictive modelers and data scientists....",0.0,0.0,0.0,0.0,1.0,0.0
509,Sr. Predictive Modeler NYC | FinTech,"New York, NY 10167 (Midtown area)",NY,    Selby Jennings,161k-180k,170.5,"This role will report directly to the Head of Decision Sciences and function as a data scientist and predictive modeler, primarily focusing on credit risk...",0.0,0.0,0.0,0.0,1.0,0.0
510,Credit Risk Quantitative Analyst,"New York, NY",NY,        Michael Page US,161k-180k,170.5,"Perform analysis on the firm's existing system, data, model and processes within the context of risk management and regulatory implementation....",0.0,0.0,0.0,0.0,1.0,0.0
511,VP of Data Science & Analytics,"New York, NY 10167 (Midtown area)",NY,    Selby Jennings,161k-180k,170.5,VP Data Science & Analytics. This highly collaborative Adtech firm is seeking a seasoned Data Science business leader to oversee a team of over 10 Analysts and...,0.0,0.0,0.0,0.0,1.0,0.0
512,Expert in Machine Learning at Consumer Banking Company,"New York, NY",NY,        Jobspring Partners,161k-180k,170.5,"Professional Data Science experience. Right now, this rapidly expanding division is seeking a Senior Data Scientist who has a strong background in machine...",0.0,0.0,0.0,0.0,1.0,0.0
513,VP Sr Quantitative Finance Analyst,"New York, NY 10167 (Midtown area)",NY,    Selby Jennings,161k-180k,170.5,"Multi-national Tier 1 Bank is looking to add to their Market Risk Group. In this role, you will be responsible for independently handling multiple projects",0.0,0.0,0.0,0.0,1.0,0.0
514,Director of Decision Sciences | FinTech,"New York, NY 10167 (Midtown area)",NY,    Selby Jennings,161k-180k,170.5,"This role will report directly to the Head of Decision Sciences and function as a data scientist and predictive modeler, primarily focusing on credit risk...",0.0,0.0,0.0,0.0,1.0,0.0
515,Data Architect for Big Data Systems (VP) - Intelligent Solut...,"New York, NY",NY,        JPMorgan Chase,161k-180k,170.5,"Govern data decisions related to data model design, data access patterns, and data services. Experience managing data transformations using Spark and/or NiFi...",0.0,0.0,0.0,0.0,1.0,0.0
516,Data Scientist-Pattern Recognition-Algo Models-Python/R-Fixe...,"New York, NY 10017 (Midtown area)",NY,        Analytic Recruiting,161k-180k,170.5,"Candidates with experience working on data clustering, machine learning, classification, pattern recognition, predictive modeling, and can identify bad data and...",0.0,0.0,0.0,0.0,1.0,0.0
517,Data Scientist,"New York, NY",NY,    TW Staffing Solutions,181k-200k,190.5,"Data Scientist - New York (total compensation $199,000). Obtain a solid fundamental knowledge into Big Data research, gaining high level exposure to multiple...",0.0,0.0,0.0,0.0,1.0,0.0
518,Data Scientist,"San Francisco, CA",SF,    Virtually Live,61k-80k,70.5,Apply machine learning techniques on large data sets of sports data to identify events of interest in data....,0.0,0.0,0.0,0.0,0.0,1.0
519,Scientist - Microbiome Analysis,"San Francisco, CA",SF,    Siolta Therapeutics,61k-80k,70.5,The successful candidate will be proficient in generating and analyzing complex data sets to investigate host microbe interactions....,0.0,0.0,0.0,0.0,0.0,1.0
520,Data Analyst,"San Francisco, CA",SF,        omega solutions inc,61k-80k,70.5,Acquire and integrate data from multiple data sources. You?ll also be responsible for data integration among diverse data resources....,0.0,0.0,0.0,0.0,0.0,1.0
521,Statistically Significant Data Scientist,"San Francisco, CA",SF,    LiveRamp,61k-80k,70.5,As a LiveRamp Data Scientist you’ll analyze the complex connections in this half a trillion node graph that contains PBs of data from over a 1000 different...,0.0,0.0,0.0,0.0,0.0,1.0
522,Data Scientist - Part time-,"San Francisco, CA",SF,    ClickTale,61k-80k,70.5,You will work with the founder of Clicktale on research projects which will analyze quantitative data and survey results of leading Fortune 1000 businesses....,0.0,0.0,0.0,0.0,0.0,1.0
523,Statistical Programmer,"San Francisco, CA",SF,        Cytel,61k-80k,70.5,Produces and supports systems that extract data from the clinical database; Develops and supports statistical programming computer systems that are used in the...,0.0,0.0,0.0,0.0,0.0,1.0
524,User Acquisition/Data Analysis,"San Francisco, CA",SF,        Gameloft,61k-80k,70.5,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",0.0,0.0,0.0,0.0,0.0,1.0
525,"gU Assistant Faculty, Data Scientist","San Francisco, CA",SF,        Galvanize,61k-80k,70.5,"GalvanizeU is a tight-knit team of data scientists, educators, and community builders that are creating practical, industry-based education....",0.0,0.0,0.0,0.0,0.0,1.0
526,Hydroclimate Data Scientist (Climate & Ecosystems),"Berkeley, CA 94720",SF,        Lawrence Berkeley National Laboratory,61k-80k,70.5,"Has an opening for a Hydroclimate Data Scientist. In Earth sciences, atmospheric science, physics, applied mathematics, data science or a closely related field....",0.0,0.0,0.0,0.0,0.0,1.0
527,Data Scientist,"Foster City, CA",SF,    Conviva,61k-80k,70.5,"The Data Scientist position requires solid mathematics and statistics training, and good experience using various data analysis models (such as various...",0.0,0.0,0.0,0.0,0.0,1.0
528,Data Scientist,"San Francisco, CA",SF,    Payette Group,61k-80k,70.5,Having tens of thousands of debtors and contacting them multiple times via various channels creates a lot of data....,0.0,0.0,0.0,0.0,0.0,1.0
529,"Scientist, R&D","Richmond, CA",SF,"    DiaCarta, Inc.",61k-80k,70.5,"Analyzes data, evaluates results, forms conclusions, and makes recommendations for future experiments. The Scientist, R&D, will be responsible for developing...",0.0,0.0,0.0,0.0,0.0,1.0
530,Scientist - Immunology,"San Francisco, CA",SF,    Siolta Therapeutics,61k-80k,70.5,"Generate, analyze and interpret data from immunological assays in murine models of allergic inflammation. Siolta Therapeutics is seeking highly ¬motivated and...",0.0,0.0,0.0,0.0,0.0,1.0
531,Clinical Scientist,"Burlingame, CA 94010",SF,    Corvus Pharmaceuticals,61k-80k,70.5,Work closely with Drug Safety and Biometrics including Data Management to ensure that all relevant clinical and safety data is collected in a timely manner and...,0.0,0.0,0.0,0.0,0.0,1.0
532,Data Scientist,"San Francisco, CA",SF,        W2O Group,61k-80k,70.5,We are looking for a Data Scientist to join our team! Data Scientists should have a background in the natural or physical sciences with experience using Python...,0.0,0.0,0.0,0.0,0.0,1.0
533,"Statistician, Sr.","San Francisco, CA",SF,    SF VA Medical Center,61k-80k,70.5,"Perform data management; Design databases and data input screens and perform data management on large, complex datasets....",0.0,0.0,0.0,0.0,0.0,1.0
534,Sr. Statistician,"San Francisco, CA",SF,        University of California San Francisco,61k-80k,70.5,"Prepares data for presentation. Gathers, analyzes, prepares and summarizes the collection of information and data....",0.0,0.0,0.0,0.0,0.0,1.0
535,Data Analyst of Postdoctoral Research Fellow,"San Francisco, CA",SF,        University of California San Francisco,61k-80k,70.5,The data analyst will also conduct statistical analysis using these claims data sets. Experience analyzing Medi-Cal or Medicare data preferred....,0.0,0.0,0.0,0.0,0.0,1.0
536,"Scientist-Sr. Scientist, Analytical Development","South San Francisco, CA",SF,    Theravance Biopharma,61k-80k,70.5,Prior experience in using Waters Empower data acquisition and analysis platform preferred. This position will be working in a fast-paced analytical development...,0.0,0.0,0.0,0.0,0.0,1.0
537,MACHINE LEARNING (and in particular DEEP LEARNING) SPECIALIS...,"Redwood City, CA",SF,"    GRAIL, Inc.",61k-80k,70.5,Computer Scientists and Software Engineers. Largely without exception these breakthroughs have been enabled by access to vast data sets in these specific...,0.0,0.0,0.0,0.0,0.0,1.0
538,Data Scientist / Engineer / Statistician,"San Francisco, CA 94111 (Financial District area)",SF,"    Alambic Investment Management, LP",61k-80k,70.5,"We are a small, entrepreneurial San Francisco-based quantitative investment firm looking for an addition to our research staff, ideally a PhD-level engineer,...",0.0,0.0,0.0,0.0,0.0,1.0
539,Data Scientist - UberPOOL (LatAm-Focused),"San Francisco, CA 94103 (South Of Market area)",SF,        Uber,61k-80k,70.5,This opening for a data scientist within uberPOOL would be focused on Latin America and the unique opportunities and challenges for uberPOOL in that region....,0.0,0.0,0.0,0.0,0.0,1.0
540,R&D - Associate Research Scientist,"Redwood City, CA 94063",SF,    Veterans Sourcing Group,61k-80k,70.5,"Basic knowledge of the drug discovery process and independence in experimental/assay design, data analysis and problem solving....",0.0,0.0,0.0,0.0,0.0,1.0
541,Connect- Research Analyst,"San Francisco, CA",SF,        Ipsos North America,61k-80k,70.5,"Find new spins on data viz. You love, love, love playing with data. San Francisco, CA United States....",0.0,0.0,0.0,0.0,0.0,1.0
542,Data Scientist,"San Francisco, CA",SF,        Twitch,61k-80k,70.5,"We think of Emmett, the CEO, as Twitch’s original data scientist. Professional work as a Data Scientist at a web/mobile product company is preferred, but any...",0.0,0.0,0.0,0.0,0.0,1.0
543,Bioinformatics Specialist,"San Francisco, CA",SF,        University of California San Francisco,61k-80k,70.5,"Strong experience in data mining and statistics is a must. In particular, the specialist will interact with representatives at the National Cancer Institute as...",0.0,0.0,0.0,0.0,0.0,1.0
544,Associate Statistician – Modeling & Simulation – San Francis...,"San Francisco, CA",SF,        Evidera,61k-80k,70.5,"We have an opening in our Biostatistics group to support studies in Health Economics, including analytic support for economic models, meta-analyses/mixed...",0.0,0.0,0.0,0.0,0.0,1.0
545,Data Systems Analyst,"San Francisco, CA",SF,        University of California San Francisco,61k-80k,70.5,"Coordinate data sharing and data analysis projects; Knowledge relating to logical data design, data warehouse design, data integration or the management of web...",0.0,0.0,0.0,0.0,0.0,1.0
546,Statistician-Research Institute,"San Francisco, CA",SF,        Sutter Health,61k-80k,70.5,6 months experience with “hands on” analysis of data. Understanding of the data and anticipation of expected results....,0.0,0.0,0.0,0.0,0.0,1.0
547,Data Science Instructor,"San Francisco, CA",SF,        General Assembly,61k-80k,70.5,"Our Data Science Immersive course is a brand-new, life-changing educational experience where students leave with the skills and mindsets to take on new careers...",0.0,0.0,0.0,0.0,0.0,1.0
548,Senior Data Scientist,"San Francisco, CA",SF,        Ancestry,61k-80k,70.5,Data Mining Product team is looking for an experienced Data Scientists who has a passion to build data products and data systems....,0.0,0.0,0.0,0.0,0.0,1.0
549,Data Science Technical Sourcer,"San Francisco, CA 94103 (South Of Market area)",SF,        Uber,61k-80k,70.5,Experience2+ years of technical sourcing experience.Prior experience sourcing data scientists/data analysts preferred....,0.0,0.0,0.0,0.0,0.0,1.0
550,Lead Analyst,"San Francisco, CA 94108 (Financial District area)",SF,        Merkle Inc.,61k-80k,70.5,Could blend into MI or Data Scientist responsibilities. External Data Enhancement. Data Analysis and Mining....,0.0,0.0,0.0,0.0,0.0,1.0
551,Data Scientist,"San Mateo, CA",SF,    Fanatics Inc.,61k-80k,70.5,"Ability to use SQL to perform data analysis. At Fanatics, we are passionate about leveraging data to drive growth and operational efficiencies....",0.0,0.0,0.0,0.0,0.0,1.0
552,Senior Research Associate,"San Francisco, CA",SF,"    Phylagen, Inc.",61k-80k,70.5,We are bringing on an innovative lab scientist - ideally with a M.S or Ph.D. We combine advanced DNA sequencing and big data analytics to analyze the microbiome...,0.0,0.0,0.0,0.0,0.0,1.0
553,Data Engineer,"Burlingame, CA 94010",SF,        CrowdStar,61k-80k,70.5,Maintain and enhance Tableau and custom data visualization tools.Work with data scientists to develop a scalable data visualization platform....,0.0,0.0,0.0,0.0,0.0,1.0
554,"Bioinformatics Scientist, Cancer Immunology","South San Francisco, CA",SF,        Genentech,61k-80k,70.5,Experience with analyzing next generation sequencing data. The Scientist in this position will study tumor-presented mutated peptides (neoantigens) using...,0.0,0.0,0.0,0.0,0.0,1.0
555,Commercial Health Data Analyst,"San Francisco, CA",SF,    Nuna,61k-80k,70.5,"Work with consultants, analysts, and data scientists to produce accurate monthly reports / dashboards on time for employer groups....",0.0,0.0,0.0,0.0,0.0,1.0
556,Research Scientist I- FPD,"Foster City, CA",SF,    Gilead,61k-80k,70.5,"Presents results of work, interprets data, and draws conclusions regarding presented material and nature of work....",0.0,0.0,0.0,0.0,0.0,1.0
557,IT Lab Administrator,"San Francisco, CA",SF,"    23andMe, Inc.",61k-80k,70.5,"Bonus points if you bring have a working knowledge of Network Appliances (NetApp filer), Unix and Power Shell scripting, Virtualization (OpenVZ, VMWare), Amazon...",0.0,0.0,0.0,0.0,0.0,1.0
558,Market Research Analyst,"San Rafael, CA",SF,    EO Products,61k-80k,70.5,Gathers and reports sales data and trends by utilizing our internal ERP reporting and SPINS data. Ensures the integrity and correct interpretation of data....,0.0,0.0,0.0,0.0,0.0,1.0
559,QC Data review scientist,"Foster City, CA",SF,    Eurofins,61k-80k,70.5,"QC Data Review Scientist responsibilities include, but are not limited to, the following :. Enter and review analytical data in LIMS and ensure data meets...",0.0,0.0,0.0,0.0,0.0,1.0
560,Research Scientist,"San Francisco, CA",SF,        Adobe,61k-80k,70.5,"Analyzing data using Python, R; Work with a team of data scientists and developers to analyze and improve Target’s machine learning algorithms in the areas of...",0.0,0.0,0.0,0.0,0.0,1.0
561,Technical Product Manager,"San Carlos, CA 94070",SF,        Natera,61k-80k,70.5,"The Natera team consists of highly dedicated statisticians, geneticists, doctors, laboratory scientists, business professionals, software engineers and many...",0.0,0.0,0.0,0.0,0.0,1.0
562,Applications Programmer,"San Francisco, CA",SF,        University of California San Francisco,61k-80k,70.5,"Over the last six years since its inception, SuperAlarm has become a data fusion algorithm capable of identifying predictive patterns by integrating diverse set...",0.0,0.0,0.0,0.0,0.0,1.0
563,Scientist,"Richmond, CA",SF,        Biorad,61k-80k,70.5,"High level ability to design efficient and meaningful experiments, generate reproducible data, analyze data, draw valid conclusions, and make realistic...",0.0,0.0,0.0,0.0,0.0,1.0
564,Marketing Research - Data Analyst,"San Francisco, CA 94105 (Financial District area)",SF,        Uber,61k-80k,70.5,"Experience working with business data and relating it to interventions and objectives.Expertise standardizing, transforming, and using statistics to analyze...",0.0,0.0,0.0,0.0,0.0,1.0
565,Cytometry Time of Flight (CyTOF) Operator,"San Francisco, CA",SF,        Pfizer Inc.,61k-80k,70.5,Presentation of complex data to internal teams. Demonstrated ability to clearly and concisely interpret and communicate complex data....,0.0,0.0,0.0,0.0,0.0,1.0
566,Data Scientist (Internship),"San Carlos, CA",SF,        Upstart,61k-80k,70.5,We're looking for someone to join our data team and help change how creditworthiness is assessed. Predictive modeling is central to us at Upstart....,0.0,0.0,0.0,0.0,0.0,1.0
567,Cell Engineering Research Associate,"Berkeley, CA",SF,    Caribou Biosciences,61k-80k,70.5,Compile data to support/contribute to technical reports. The ideal candidate will interact closely with Scientists and other RAs to support cell culture and...,0.0,0.0,0.0,0.0,0.0,1.0
568,Research Associate Molecular Biology,"Menlo Park, CA 94025",SF,    SlipChip,61k-80k,70.5,Demonstrated ability to work in a research team and generate high quality experimental data. Support senior scientists in the company to run hands-on...,0.0,0.0,0.0,0.0,0.0,1.0
569,Research Scientist I- FPD,"Foster City, CA",SF,        Gilead Sciences,61k-80k,70.5,"Presents results of work, interprets data, and draws conclusions regarding presented material and nature of work....",0.0,0.0,0.0,0.0,0.0,1.0
570,Technical Course Creation Manager,"San Francisco, CA",SF,        Udemy,61k-80k,70.5,"Work cross-functionally with different teams at Udemy at different stages of each project (strategists, writers, designers, marketers, learning scientists, etc....",0.0,0.0,0.0,0.0,0.0,1.0
571,Variant Scientist,"Burlingame, CA",SF,    Color Genomics,61k-80k,70.5,Color's Variant Team helps translate genomic data into clinically meaningful and actionable results by closely working with highly trained and dedicated team of...,0.0,0.0,0.0,0.0,0.0,1.0
572,Senior Research Associate II,"Foster City, CA",SF,    Gilead,61k-80k,70.5,"Develops skills in data analysis and ability to evaluate quality of data. Assist with the summary, QC, interpretation and documentation of data;...",0.0,0.0,0.0,0.0,0.0,1.0
573,Senior Research Associate II,"Foster City, CA",SF,        Gilead Sciences,61k-80k,70.5,"Develops skills in data analysis and ability to evaluate quality of data. Assist with the summary, QC, interpretation and documentation of data;...",0.0,0.0,0.0,0.0,0.0,1.0
574,Research Scientist II Bioinformatics,"Foster City, CA",SF,        Gilead Sciences,61k-80k,70.5,Bioinformatics scientist to lead bioinformatic data analysis and application. Statistical data analysis of genomic data using R/Bioconductor....,0.0,0.0,0.0,0.0,0.0,1.0
575,Exascale Crystallographic Computation Postdoctoral Fellow,"Berkeley, CA 94720",SF,        Lawrence Berkeley National Laboratory,61k-80k,70.5,", and LBNL to port data to the supercomputer center at. Work at the interface between supercomputer design teams, computer science groups, LCLS beamline...",0.0,0.0,0.0,0.0,0.0,1.0
576,Research Scientist II Bioinformatics,"Foster City, CA",SF,    Gilead,61k-80k,70.5,Bioinformatics scientist to lead bioinformatic data analysis and application. Statistical data analysis of genomic data using R/Bioconductor....,0.0,0.0,0.0,0.0,0.0,1.0
577,"Senior Scientist, HPLC Chemist","Foster City, CA",SF,    Lancaster Laboratories,61k-80k,70.5,Perform data analysis and troubleshoot methods and instrumentation. Deep understanding of experimentation and data analysis using Empower software (Version III)...,0.0,0.0,0.0,0.0,0.0,1.0
578,ESG Research Analyst,"San Francisco, CA",SF,    TruValue Labs,61k-80k,70.5,Collaborate with data engineers in-order-to refine real-time ESG data collection and analysis. Identify additional ESG data sources....,0.0,0.0,0.0,0.0,0.0,1.0
579,Research Analyst,"San Francisco, CA 94104 (Financial District area)",SF,        Transwestern,61k-80k,70.5,"Understand and manage key resources, data vendors, and development of effective technology. Maintain a database of properties and market data on the San...",0.0,0.0,0.0,0.0,0.0,1.0
580,Market Research Associate Client Analyst,"San Francisco, CA",SF,    Kantar Millward Brown,61k-80k,70.5,"Our Associate Client Analysts will design questionnaires, pull data, write reports, and understand how to tell a story from data....",0.0,0.0,0.0,0.0,0.0,1.0
581,Client Success Specialist,"San Francisco, CA 94105 (Financial District area)",SF,    OnboardIQ,61k-80k,70.5,Have experience interacting with various APIs and pulling data. Provide business insights based on systems data that will drive support strategy....,0.0,0.0,0.0,0.0,0.0,1.0
582,Research Analyst,"San Francisco, CA",SF,    Boutique Air,61k-80k,70.5,Excellent data collection and analysis skills. Conduct industry-specific data analyses and present findings in a clear and concise manner....,0.0,0.0,0.0,0.0,0.0,1.0
583,Product Development Scientist,"San Carlos, CA 94070",SF,        Natera,61k-80k,70.5,"Perform data analysis with advanced analytical tools (JMP, Excel, R). Natera is currently seeking a Product Development Scientist to join Natera’s R&D group....",0.0,0.0,0.0,0.0,0.0,1.0
584,"Associate Scientist, Automated Strain Engineering","Emeryville, CA",SF,"    Amyris, Inc.",61k-80k,70.5,"Associate Scientist, Automated Strain Engineering. Maintaining, analyzing, and reporting on data relating to operational processes....",0.0,0.0,0.0,0.0,0.0,1.0
585,Metabolic Engineering (Directed Evolution): Scientist I,"Berkeley, CA",SF,    Lygos,61k-80k,70.5,"Close collaboration with all aspects of Lygos’ team, including analytics, bioinformatics, fermentation and downstream purification groups to interpret data and...",0.0,0.0,0.0,0.0,0.0,1.0
586,Research Analyst,"San Francisco, CA 94111 (Financial District area)",SF,        Goodwin Procter LLP,61k-80k,70.5,GENERAL SUMMARY: The Research Analyst provides expert legal and business research for the firm’s attorneys and administrative departments; participates in,0.0,0.0,0.0,0.0,0.0,1.0
587,Research Analyst,"Emeryville, CA",SF,        CEP America,61k-80k,70.5,"Analyze data and intel from various data sources and social media such as AHD, Definitive, LinkedIn, google alerts etc....",0.0,0.0,0.0,0.0,0.0,1.0
588,Analytical Scientist,"San Francisco, CA 94105 (Financial District area)",SF,        Fitbit,61k-80k,70.5,Certifying data and releasing results. Provide high quality mass spectrum data interpretation. Knowledge of computerized data acquisition and analysis systems....,0.0,0.0,0.0,0.0,0.0,1.0
589,Key Account FAS,"San Francisco Bay Area, CA",SF,    ProteinSimple,61k-80k,70.5,Facilitate Applications Training on assay development and data analysis on ProteinSimple’s instruments....,0.0,0.0,0.0,0.0,0.0,1.0
590,Postdoctoral Research Associate in Applied Mathematics,"Berkeley, CA 94720",SF,        Lawrence Berkeley National Laboratory,61k-80k,70.5,Solid grounding in mathematical/statistical methods applied to sampling multi-dimensional parameter spaces for experimental scientific data....,0.0,0.0,0.0,0.0,0.0,1.0
591,Scientist 1 or Scientist 2,"Novato, CA",SF,    BioMarin Pharmaceutical Inc.,61k-80k,70.5,"Critical thinking, excellent data analysis and interpretation skills. Is seeking an experienced molecular biologist at the Scientist level for upstream research...",0.0,0.0,0.0,0.0,0.0,1.0
592,"Associate Scientist/Scientist I, Biochemistry","San Francisco, CA",SF,"    MyoKardia, Inc.",61k-80k,70.5,Strong knowledge of data analysis and basic statistics is required. Participate and present data at internal and external meetings....,0.0,0.0,0.0,0.0,0.0,1.0
593,"Research Associate, Preclinical","South San Francisco, CA 94080",SF,"    Surrozen, Inc.",61k-80k,70.5,"Analyzing data and interpreting results. Surrozen is a newly launched biopharmaceutical company founded by world-leading scientists from Stanford University,...",0.0,0.0,0.0,0.0,0.0,1.0
594,Specialist – Strategy and Operations Administration,"Emeryville, CA",SF,    NIBR,61k-80k,70.5,"Create, validate, analyze and report portfolio, resource, and budget data. By hiring the best academic, biotech, and pharmaceutical trained scientists, we have...",0.0,0.0,0.0,0.0,0.0,1.0
595,Histopathology Associate Scientist,"San Francisco, CA",SF,    Hart Employment,61k-80k,70.5,"With minimal supervision, plans, conducts or monitors histopathology experiments, records and organizes data, analyze results, generates robust and reliable...",0.0,0.0,0.0,0.0,0.0,1.0
596,"Scientist, Enzyme Engineering","Emeryville, CA",SF,"    Amyris, Inc.",61k-80k,70.5,"Scientist, Enzyme Engineering. We prefer Scientists with skills or traits in the following areas:. Experience in applying machine learning in data analysis is a...",0.0,0.0,0.0,0.0,0.0,1.0
597,"Research Analyst, Malaria Elimination Initiative","San Francisco, CA",SF,        University of California San Francisco,61k-80k,70.5,"Experience managing cross-sectional or large data collection field teams. The Surveillance Research Analyst, Malaria Elimination Initiative (MEI), will play a...",0.0,0.0,0.0,0.0,0.0,1.0
598,METABOLIC ENGINEERING: SCIENTIST III,"Berkeley, CA",SF,    Lygos,61k-80k,70.5,Purification groups to interpret integrated process data and find creative solutions to problems. The successful applicant will serve as strain architect...,0.0,0.0,0.0,0.0,0.0,1.0
599,"Investigator II, Medicinal Chemistry","Emeryville, CA",SF,    NIBR,61k-80k,70.5,"Ability to identify scientific questions coupled with critical data assessment and decision making. By hiring the best academic, biotech, and pharmaceutical...",0.0,0.0,0.0,0.0,0.0,1.0
